news_report_url;news_report_headline;news_report_platform;date_of_publication;author;wire_service;Notes;NO OF SUBS
http://www.timeslive.co.za/local/2012/05/24/mpho-tutu-fled-her-home;Mpho Tutu f led her home.pdf;TIMES;24/05/2012;Philani Nombembe;N;TUTU FAMILY DOMESTIC WORKER;1
http://www.iol.co.za/saturday-star/tutu-domestic-worker-killed-1.1278183#.VeG-pNOqpHw;Tutu domestic worker killed _ IOL.pdf;SS;17/04/2012;Bianca Capazorio;N;TUTU FAMILY DOMESTIC WORKER;1
Murder at Tutu Daughter's House (same as SS above);NA;WEEKEND ARGUS;14/04/2012;Bianca Capazorio;N;TUTU FAMILY DOMESTIC WORKER;1
http://www.news24.com/Archives/City-Press/Forgiveness-is-a-gift-to-yourself-says-the-Arch-20150429;Forgiveness is a gift to yourself, says the Arch _ News24;CP;04/05/2014;Bienne Huisman;N;TUTU FAMILY DOMESTIC WORKER;1
http://www.thenewage.co.za/mobi/Detail.aspx?NewsID=48633&CatID=1011;Tutu safety concerns;TNA;09/08/2013;Vincent Cruywagen Jamil Khan;N;TUTU FAMILY DOMESTIC WORKER;1
http://www.iol.co.za/weekend-argus/impact-of-a-mother-s-murder-1.1773971#.VeHA39OqpHw;Impact of a mother's murder _ IOL;WEEKEND ARGUS;01/11/2014;Caryn Dolley;N;TUTU FAMILY DOMESTIC WORKER;1
http://www.iol.co.za/news/crime-courts/tutu-s-gardener-guilty-of-murder-1.1754409;Tutu's gardener guilty of murder _ IOL;CA;22/09/2014;Natasha Prince;N;TUTU FAMILY DOMESTIC WORKER;1
http://www.iol.co.za/capeargus/killer-must-have-been-familiar-1.1344011;Killer must have been familiar' _ IOL;CA;18/07/2012;Jade Witten;N;TUTU FAMILY DOMESTIC WORKER;1
http://www.iol.co.za/news/crime-courts/motive-for-killing-at-tutu-home-a-mystery-1.1276534#.VeHBM9OqpHw;Motive for killing at Tutu home a mystery _ IOL;CA;16/04/2012;Sibongakonke Mama;N;TUTU FAMILY DOMESTIC WORKER;1
http://www.sabc.co.za/news/a/df5f03804ae21e508db4edd484044881/Police-appeal-to-public-for-information-on-Tutu-domestic-worker-murder-20121404;SABC News - Police appeal to public for information on Tutu domestic worker murder_Saturday 14 April 2012;SABC;14/04/2012;NA;N;TUTU FAMILY DOMESTIC WORKER;1
http://www.iol.co.za/news/crime-courts/murder-of-tutu-domestic-man-held-1.1288429;Murder of Tutu domestic_ man held _ IOL;CA;03/05/2012;Sibusiso Nkomo;N;TUTU FAMILY DOMESTIC WORKER;1
http://www.iol.co.za/pretoria-news/domestic-strangled-tutu-gardener-held-1.1288496#.VeHBftOqpHw;Domestic strangled_ Tutu gardener held _ IOL;PN;03/05/2012;Caryn Dolley;N;TUTU FAMILY DOMESTIC WORKER;1
Mpho Tutu's Gardener in Dock (same as PN above);NA;CA;03/05/2012;Caryn Dolley;N;TUTU FAMILY DOMESTIC WORKER;1
http://www.netwerk24.com/nuus/2014-10-31-dogter-van-tutu-se-vermoorde-huishulp-getuig;Dogter van Tutu se vermoorde huishulp getuig _ Netwerk24;NETWERK24;31/10/2013;Nielen de Klerk;N;TUTU FAMILY DOMESTIC WORKER;1
http://www.netwerk24.com/nuus/misdaad/2015-08-29-man-vry-n-moord-op-mpho-tutu-se-werker;Man vry ná moord op Mpho Tutu se werker _ Netwerk24;BURGER ;29/08/2015;Jana Breytenbach;N;TUTU FAMILY DOMESTIC WORKER;1
http://www.netwerk24.com/nuus/2015-02-02-tutu-tuiner-teken-appl-aan;Tutu-tuinier teken appèl aan _ Netwerk24;BURGER ;02/02/2015;Jana Breytenbach;N;TUTU FAMILY DOMESTIC WORKER;1
https://www.pressreader.com/south-africa/cape-argus/20130513/281741266935858;NA;CA;13/05/2013;Jade Otto;N;TUTU FAMILY DOMESTIC WORKER;1
Tutus Beef Up Security;NA;ST;11/08/2013;Shanaaz Eggington and Buyekezwa Makwabe;N;TUTU FAMILY DOMESTIC WORKER;1
Police probe murder at home ofTutu's daughter;NA;SUNDAY ARGUS;15/04/2012;STAFF;N;TUTU FAMILY DOMESTIC WORKER;1
Tutu se tuinier vas na moord;NA;BURGER;03/05/2012;Maygene de Wee;N;TUTU FAMILY DOMESTIC WORKER;1
http://m.news24.com/news24/Archives/Witness/He-seemed-like-a-child-20150430;He seemed like a child’ _ News24;NW;07/03/2013;Ingrid Oellermann;;;3
http://www.news24.com/Archives/Witness/Murder-accused-I-stumbled-on-knifing-in-progress-20150430;Murder accused_ I stumbled on knifing in progress _ News24;NW;14/05/2013;Ingrid Oellermann;;;3
https://www.news24.com/Archives/Witness/Stabbed-widow-Man-arrested-20150430;Stabbed widow_ Man arrested _ News24;NW;28/04/2012;Shan Pillay;;;3
http://www.iol.co.za/news/crime-courts/widow-s-brutal-murder-probed-1.1284746#.VeHB9dOqpHx;Widow’s brutal murder probed _ IOL;DAILY NEWS;26/04/2012;Shan Pillay;;;3
http://m24arg02.naspers.com/argief/berigte/dailysun/2012/04/30/DK/5/DK5%20BRIEF1.html;NA;DAILY SUN;30/04/2012;NA;;;3
http://www.news24.com/Archives/Witness/No-bail-for-murder-accused-20150430;No bail for murder accused _ News24;NW;18/07/2012;Mlondi Radebe;;;3
https://www.news24.com/Archives/Witness/Twists-in-Mt-View-stabbing-20150430;Twists in Mt View stabbing _ News24;NW;01/05/2012;Ingrid Oellermann;;;3
https://www.iol.co.za/news/crime-courts/murder-accuseds-bail-bid-fails-1344232;Murder accusedís bail bid fails _ IOL News;IOL;18/07/2012;Sherlissa Peters;;;3
https://www.iol.co.za/dailynews/news/murder-accused-bids-for-bail-1319990;Murder accused bids for bail _ IOL;DAILY NEWS;15/06/2012;Sherlissa Peters;;;3
https://www.news24.com/Archives/Witness/Northdale-murder-accused-applies-for-bail-20150430;Northdale murder_ accused applies for bail _ News24;NW;15/06/2012;Witness Reporter;;;3
https://www.iol.co.za/dailynews/news/carpenter-who-worked-for-widow-charged-with-slaying-in-northdale-1286463;Carpenter who worked for widow charged with slaying in Northdale _ IOL;DAILY NEWS;01/05/2012;Shan Pillay;;;3
